Sample/spectrum description,Sampling accessory,Spectral resolution
Water - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
"Potato - raw tuber, complete mid-IR",ATR sampling (diamond),4 wavenumbers
Potato - raw tuber,ATR sampling (diamond),4 wavenumbers
Water,ATR sampling (diamond),4 wavenumbers
"Coffee - Arabica beans, freeze-dried extract",Diffuse Reflectance (DRIFT),8 wavenumbers
"Coffee - Robusta beans, freeze-dried extract",Diffuse Reflectance (DRIFT),8 wavenumbers
"Wine - red, Australian Cabernet Sauvignon",ATR sampling (zinc selenide),8 wavenumbers
Ethanol,ATR sampling (zinc selenide),8 wavenumbers
"Amylose - type III, from potato, complete mid-IR",ATR sampling (diamond),4 wavenumbers
"Amylopectin - from potato, complete mid-IR",ATR sampling (diamond),4 wavenumbers
"Amylose - type III, from potato",ATR sampling (diamond),4 wavenumbers
Amylopectin - from potato,ATR sampling (diamond),4 wavenumbers
Ham - cooked British,ATR sampling (diamond),4 wavenumbers
"Olive oil - extra virgin, Greek, ZnSe ATR crystal",ATR sampling (zinc selenide),4 wavenumbers
"Olive oil - extra virgin, Greek, complete mid-IR",ATR sampling (diamond),4 wavenumbers
"Olive oil - extra virgin, Greek",ATR sampling (diamond),4 wavenumbers
Chicken - fresh raw minced,ATR sampling (zinc selenide),8 wavenumbers
Pork - fresh raw minced,ATR sampling (zinc selenide),8 wavenumbers
Turkey - fresh raw minced,ATR sampling (zinc selenide),8 wavenumbers
Grapeseed oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Grapeseed oil,ATR sampling (diamond),4 wavenumbers
Ground nut oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Ground nut oil,ATR sampling (diamond),4 wavenumbers
Walnut oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Walnut oil,ATR sampling (diamond),4 wavenumbers
Rice bran oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Rice bran oil,ATR sampling (diamond),4 wavenumbers
Corn oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Corn oil,ATR sampling (diamond),4 wavenumbers
Extra virgin avocado oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Extra virgin avocado oil,ATR sampling (diamond),4 wavenumbers
Rapeseed oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Rapeseed oil,ATR sampling (diamond),4 wavenumbers
Sunflower oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Sunflower oil,ATR sampling (diamond),4 wavenumbers
Toasted sesame oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Toasted sesame oil,ATR sampling (diamond),4 wavenumbers
Hemp oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Hemp oil,ATR sampling (diamond),4 wavenumbers
Hazelnut oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Hazelnut oil,ATR sampling (diamond),4 wavenumbers
Soya oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Soya oil,ATR sampling (diamond),4 wavenumbers
Sweet almond oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Sweet almond oil,ATR sampling (diamond),4 wavenumbers
Coconut oil - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Coconut oil,ATR sampling (diamond),4 wavenumbers
Lard - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Lard,ATR sampling (diamond),4 wavenumbers
Refined vegetable fat - complete mid-infrared region,ATR sampling (diamond),4 wavenumbers
Refined vegetable fat,ATR sampling (diamond),4 wavenumbers
Caffeine,ATR sampling (zinc selenide),8 wavenumbers
Coffee - Ground roast robusta beans,ATR sampling (diamond),4 wavenumbers
Coffee - Ground roast blend - Decaffeinated,ATR sampling (diamond),4 wavenumbers
